code,description, precio_lista , precio_compra ,cant_caja,content,um,grupo,create_time,
13,NECTAR UP PIÑA 250 ML, 7.00000000 , 7.00000000 ,10,250,4,3295,null,
C13,PEPERONI CAMPESTRE KG, 203.00000000 , 203.00000000 ,10,1,7,3291,null,
C22,PRENSADO .250 GRS, 27.00000000 , 27.00000000 ,10,250,3,3291,null,
C21,PRENSADO 1 KG, 92.00000000 , 92.00000000 ,10,1,7,3291,null,
C20,QUESO AMARILLO CASA BLANCA PAQ 7 PZAS., 15.00000000 , 15.00000000 ,10,7,8,3291,null,
C42,QUESO COTIJA .250 GRS TRES GENERACIONES, 30.00000000 , 30.00000000 ,10,250,3,3505,null,
685388-4332,QUESO COTIJA ENCHILADO KG , 103.00000000 , 103.00000000 ,10,1,7,3291,null,
C19,QUESO OAXACA .200 GRS ALPINO , 29.00000000 , 29.00000000 ,10,200,3,3291,null,
672158-4332,QUESO OAXACA BOLA KG TRES GENERACIONES, 100.00000000 , 100.00000000 ,10,1,7,3505,null,
685669-4332,QUESO OAXACA RAYADO KG TRES GENERACIONES, 100.00000000 , 100.00000000 ,10,1,7,3505,null,
671897-4332,QUESO OAXACA TIRA KG TRES GENERACIONES, 100.00000000 , 100.00000000 ,10,1,7,3505,null,
195,QUESO PETTIT DURAZNO 180 GRS, 5.50000000 , 5.50000000 ,10,1,3,3280,null,
193,QUESO PETTIT FRESA .180 GRS, 5.50000000 , 5.50000000 ,10,180,3,3280,null,
192,QUESO PETTIT MANGO 180 GRS, 5.50000000 , 5.50000000 ,10,1,3,3280,null,
C18,QUESO PUERCO CAMPESTRE .250 GRS, 22.00000000 , 22.00000000 ,10,250,3,3291,null,
C16,SALCHICHA DUBY 2.5  KG , 86.00000000 , 86.00000000 ,10,2.5,7,3291,null,
C5,SALCHICHA FRANKFURT BAFAR 2 KG, 124.00000000 , 124.00000000 ,10,2,7,3291,null,
C4,SALCHICHA FRANKFURT KIR 2 KG, 124.00000000 , 124.00000000 ,10,2,7,3291,null,
C15,SALCHICHA FRANKFURT SUZANNE .500 GRS, 31.00000000 , 31.00000000 ,10,500,3,3291,null,
C17,SALCHIPESO PAQ 10 PZAS, 16.00000000 , 16.00000000 ,10,1,8,3291,null,
586,SHEIK CIRUELA .250 GRS , 12.00000000 , 12.00000000 ,10,250,3,3290,null,
